No	Sample	N_SNPs	F_percent	E_percent	A_percent	full	N_SNPs	F_percent_pruned	E_percent_pruned	A_percent_pruned	pruned
75	HpGP-CAN-020	142237	0	12.41	87.59	hpgpAsia	44787	0	7.83	92.17	hpgpAsia
76	HpGP-CAN-022	142237	3.19	76.73	20.08	hpgpEurasia	44787	0	78.74	21.26	hpgpEurasia
77	HpGP-CAN-023	142237	0.77	9.89	89.34	hpgpAsia	44787	0	13.57	86.43	hpgpAsia
78	HpGP-CAN-025	142237	0.92	79.8	19.29	hpgpEurasia	44787	0	81.13	18.87	hpgpEurasia
79	HpGP-CAN-026	142237	0	80.12	19.88	hpgpEurasia	44787	0	80.03	19.97	hpgpEurasia
80	HpGP-CHI-001	142237	15.26	84.74	0	hpgpMediterranea	44787	17.77	82.23	0	hpgpMediterranea
81	HpGP-CHI-002	142237	15.72	84.28	0	hpgpMediterranea	44787	18.76	81.24	0	hpgpMediterranea
82	HpGP-CHI-004	142237	49.47	49.12	1.41	hpgpEuroamerica	44787	50.11	49.89	0	hpgpEuroamerica
83	HpGP-CHI-005	142237	41.23	51.95	6.82	hpgpEuroamerica	44787	38.78	56.53	4.69	hpgpEuroamerica
84	HpGP-CHI-006	142237	17.44	72.59	9.97	hpgpMediterranea	44787	14.83	78.99	6.17	hpgpMediterranea
85	HpGP-CHI-007	142237	17.11	82.89	0	hpgpMediterranea	44787	19.82	80.18	0	hpgpMediterranea
86	HpGP-CHI-008	142237	19.88	80.12	0	hpgpMediterranea	44787	20.3	79.7	0	hpgpMediterranea
87	HpGP-CHI-010	142237	15.08	76.34	8.58	hpgpMediterranea	44787	18.01	74.69	7.3	hpgpMediterranea
88	HpGP-CHI-011	142237	34.92	63.1	1.98	hpgpEuroamerica	44787	36.44	63.06	0.5	hpgpEuroamerica
89	HpGP-CHI-014	142237	16.44	83.56	0	hpgpMediterranea	44787	18.04	81.96	0	hpgpMediterranea
90	HpGP-CHI-016	142237	17.56	82.44	0	hpgpMediterranea	44787	20.42	79.58	0	hpgpMediterranea
91	HpGP-CHI-017	142237	17.73	82.27	0	hpgpMediterranea	44787	19.8	80.2	0	hpgpMediterranea
92	HpGP-CHI-018	142237	29.52	67.44	3.05	hpgpEuroamerica	44787	27.24	71.78	0.98	hpgpEuroamerica
93	HpGP-CHI-021	142237	46.79	48.69	4.53	hpgpEuroamerica	44787	43.66	55.25	1.1	hpgpEuroamerica
94	HpGP-CHI-022	142237	51.45	43.04	5.51	hpgpAfroamerica	44787	51.08	46.9	2.01	hpgpAfroamerica
95	HpGP-CHI-023	142237	33.35	59.43	7.22	hpgpEuroamerica	44787	34.47	59.53	6	hpgpEuroamerica
